NR_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,ANO
1000,CELSO UBIRAJARA RUSSOMANNO,PRB,ELEITO POR QP,521728,2018
1001,EDSON FRANCISCO DE SANTANA,PRB,SUPLENTE,4911,2018
1002,ELIANA SABÁ,PRB,SUPLENTE,391,2018
1003,EDILUZA MARIA DA SILVA DOS SANTOS,PRB,SUPLENTE,753,2018
1004,AFFONSO SALATI FILHO,PRB,SUPLENTE,2623,2018
1005,VICTOR AUGUSTO VILANUEVA GOMES,PRB,SUPLENTE,254,2018
1006,MICHEL DE LIMA CHAUSSE,PRB,SUPLENTE,1778,2018
1007,WANDEMBERG MARQUES DA SILVA,PRB,SUPLENTE,2001,2018
1008,EDSON COQUEIRO FILHO,PRB,SUPLENTE,2606,2018
1009,VAGNER CLEBER CHIAPETTI,PRB,SUPLENTE,12409,2018
1010,MARCOS ANTONIO PEREIRA,PRB,ELEITO POR QP,139165,2018
1011,ALEXANDRE ARAUJO DAUAGE,PRB,SUPLENTE,11022,2018
1012,ALEX FERNANDO BRAGA,PRB,SUPLENTE,5075,2018
1013,ADAO DIVINO DO NASCIMENTO,PRB,SUPLENTE,1757,2018
1014,ALEXANDRO DE ARAUJO,PRB,SUPLENTE,15052,2018
1015,RITA DE CÁSSIA SANTANA ALBANEZ,PRB,SUPLENTE,5847,2018
1016,WANDERLEY AYRES JUNIOR,PRB,SUPLENTE,435,2018
1017,CAROLINE GROOT,PRB,SUPLENTE,1125,2018
1018,MARIA NASARÉ DA GUIA AZEVEDO,PRB,SUPLENTE,3132,2018
1019,LEANDRO MOREIRA,PRB,SUPLENTE,7484,2018
1020,ANGELA MÁRCIA FIRMO BAVINI,PRB,SUPLENTE,4392,2018
1021,LUIZ CARLOS DONEGA NETO,PRB,SUPLENTE,5282,2018
1022,MARIA DO PARTO MENDES ROSAS,PRB,ELEITO POR MÉDIA,71745,2018
1023,HENRIQUE STEIN SCIASCIO,PRB,SUPLENTE,54113,2018
1024,GILMARA NASCIMENTO DA SILVA,PRB,SUPLENTE,1885,2018
1025,LUCILENA RIBEIRO DA SILVA,PRB,SUPLENTE,645,2018
1026,JEFFERSON MARIO AMARAL,PRB,SUPLENTE,2374,2018
1027,CAMILA GRASIELE SANGREGORIO SOARES,PRB,SUPLENTE,2213,2018
1028,ANA KARIN DIAS DE ALMEIDA ANDRADE,PRB,SUPLENTE,1319,2018
1029,NILO SERGIO MACHADO,PRB,SUPLENTE,117,2018
1030,ALCIDES BELUCI NETO,PRB,SUPLENTE,7664,2018
1031,RENE ROSA,PRB,SUPLENTE,954,2018
1032,ABEL DO PORTO SANTOS,PRB,SUPLENTE,4231,2018
1033,SHAKESPEARE VIANA CARVALHO,PRB,SUPLENTE,23666,2018
1034,GERALDO DOS REIS BORGES,PRB,SUPLENTE,1738,2018
1035,JOAO AGUIAR RIBEIRO,PRB,SUPLENTE,4164,2018
1036,ANA REGINA MACHADO COUTO,PRB,SUPLENTE,438,2018
1037,GERALDO JANUARIO DO NASCIMENTO,PRB,SUPLENTE,370,2018
1038,GABRIEL ROCHA KANNER,PRB,SUPLENTE,27324,2018
1039,RUBENS SANCHEZ PROENÇA,PRB,SUPLENTE,133,2018
1040,RICARDO MOLINA DIAS,PRB,SUPLENTE,21312,2018
1041,GILDO JOSE PEDROSA,PRB,SUPLENTE,1475,2018
1042,APARECIDA FERREIRA ALVES DA SILVA,PRB,SUPLENTE,339,2018
1043,SANDRA REGINA FELICIO WHITAKER,PRB,SUPLENTE,822,2018
1044,LUIS CARLOS DE SOUZA,PRB,SUPLENTE,5650,2018
1045,EDUARDO JANZON AVALLONE NOGUEIRA,PRB,SUPLENTE,23558,2018
1046,CREUZA PEREIRA SOARES,PRB,SUPLENTE,364,2018
1047,AGRIPINO PEREIRA DE SENA,PRB,SUPLENTE,976,2018
1048,ANTONIO DE SOUZA BRANDAO,PRB,SUPLENTE,269,2018
1049,MURILLO ANDREU RUBIO,PRB,SUPLENTE,2651,2018
1050,JOSE LEMES SOARES,PRB,SUPLENTE,15126,2018
1051,GILSON DE SOUZA JUNIOR,PRB,SUPLENTE,16112,2018
1052,RICARDO ELIAS IRALLA,PRB,SUPLENTE,786,2018
1053,MAURICIO DOMINGUES DA SILVA,PRB,SUPLENTE,4814,2018
1055,MILTON VIEIRA PINTO,PRB,ELEITO POR QP,77413,2018
1056,VLADIMIR RYUJI TANAKA,PRB,SUPLENTE,924,2018
1058,JULIANA LUCIANO DOS SANTOS,PRB,SUPLENTE,728,2018
1059,GILSON PEREIRA DE MENEZES,PRB,SUPLENTE,4474,2018
1060,GILMAR ANDRE DOS SANTOS NEVES DE LAVOR,PRB,SUPLENTE,2211,2018
1061,NILSON BONOME,PRB,SUPLENTE,10025,2018
1062,VILMA APARECIDA DE ALMEIDA,PRB,SUPLENTE,225,2018
1063,LUIZ CARLOS BOMBONATO GOULART,PRB,SUPLENTE,14215,2018
1064,PAULO GUILHERME FRANZIN,PRB,SUPLENTE,16775,2018
1065,JOAO RICARDO GARCIA CARVALHO DA SILVA,PRB,SUPLENTE,13269,2018
1066,GUILHERME AUGUSTO SANCHES RIBEIRO,PRB,SUPLENTE,24380,2018
1067,MILAINE CRISTINA LEITE RUVIÉRE CALAZANS,PRB,SUPLENTE,6186,2018
1068,MARILDA FELIPE,PRB,SUPLENTE,2929,2018
1069,ROBERTO MIGUEL REY JUNIOR,PRB,SUPLENTE,13321,2018
1070,EDEN SIROLI RIBEIRO,PRB,SUPLENTE,5782,2018
1071,CRISTIANO RODRIGO DA SILVA,PRB,SUPLENTE,1297,2018
1072,MARCELO APARECIDO DA SILVA,PRB,SUPLENTE,160,2018
1073,MARCOS OSNI DE CAMPOS,PRB,SUPLENTE,510,2018
1074,ANTONIO ZACARIAS DA SILVA,PRB,SUPLENTE,1066,2018
1075,JOSE RIBAMAR DOS SANTOS,PRB,SUPLENTE,807,2018
1076,PAULA FERNANDA SAMPAIO,PRB,SUPLENTE,232,2018
1077,EVERSON MARCOS DE OLIVEIRA,PRB,SUPLENTE,6615,2018
1078,BENEDITO ROBERTO ALVES FERREIRA,PRB,ELEITO POR QP,82097,2018
1079,ROMEU TUMA JUNIOR,PRB,SUPLENTE,13343,2018
1080,MARCELO SQUASSONI,PRB,SUPLENTE,36773,2018
1081,IONE MELO MACHADO ANANIAS,PRB,SUPLENTE,500,2018
1082,CARLOS ALBERTO ADAO,PRB,SUPLENTE,965,2018
1083,ERIKA LAUREN DE ARRUDA,PRB,SUPLENTE,270,2018
1084,RENATA BANHARA PEIXOTO MARCONDES,PRB,SUPLENTE,12659,2018
1085,VINICIUS RAPOZO DE CARVALHO,PRB,ELEITO POR QP,97862,2018
1087,ELIANE DE SOUSA ALVES MACHADO,PRB,SUPLENTE,49426,2018
1088,SONIA MARIA ALVES PEREIRA,PRB,SUPLENTE,318,2018
1089,ELIZABETE TOSHIHO TAIDA OTSU,PRB,SUPLENTE,365,2018
1090,APARECIDO SERIO DA SILVA,PRB,SUPLENTE,8729,2018
1091,MAURICIO DOMINGOS DE SOUSA,PRB,SUPLENTE,611,2018
1092,ALESSANDRA DA SILVA SANTOS,PRB,SUPLENTE,1181,2018
1093,GISLENE APARECIDA TAVARES DE ASSIS,PRB,SUPLENTE,1034,2018
1094,VALDECIR ANTONIO DA SILVA,PRB,SUPLENTE,273,2018
1095,MARCOS ROBERTO VICENTE,PRB,SUPLENTE,1751,2018
1096,RICARDO ANTONIO BUAINAIN DIAS,PRB,SUPLENTE,2593,2018
1097,MAIRA FABRICIA PINTO,PRB,SUPLENTE,342,2018
1098,ADEMIR JOSE DA SILVA,PRB,SUPLENTE,2042,2018
1099,ISRAEL SAMPAIO DE LACERDA FILHO,PRB,SUPLENTE,18197,2018
1100,GUILHERME MUSSI FERREIRA,PP,ELEITO POR QP,134301,2018
1111,RICARDO IZAR JUNIOR,PP,ELEITO POR QP,121869,2018
1123,FAUSTO RUY PINATO,PP,ELEITO POR QP,118684,2018
1133,JUSSARA MORO PRESTO,PP,SUPLENTE,2985,2018
1152,ARNALDO FARIA DE SÁ,PP,SUPLENTE,85381,2018
1190,GUILHERME MURARO DERRITE,PP,ELEITO POR QP,119034,2018
1200,TABATA CLAUDIA AMARAL DE PONTES,PDT,ELEITO POR QP,264450,2018
1206,PATRICIA DE JESUS,PDT,SUPLENTE,384,2018
1208,VERA LUCIA DOS SANTOS,PDT,SUPLENTE,1569,2018
1210,MARCOS ANTONIO HENRIQUE DE SOUZA,PDT,SUPLENTE,1240,2018
1216,PRISCILA DE FÁTIMA BELTRAN SANTOS,PDT,SUPLENTE,179,2018
1219,WANDERLEY MOREIRA DE CARVALHO,PDT,SUPLENTE,1350,2018
1220,JOSE FERREIRA CAMPOS FILHO,PDT,SUPLENTE,2846,2018
1222,GERSON HENRIQUE SARTORI,PDT,SUPLENTE,15566,2018
1223,MARIO SERGIO TASSINARI,PDT,SUPLENTE,4732,2018
1229,JOSE ANTONIO ALVES DA SILVA,PDT,SUPLENTE,1205,2018
1233,AIRES RIBEIRO,PDT,SUPLENTE,13544,2018
1234,SEBASTIÃO ALVES DE ALMEIDA,PDT,SUPLENTE,29197,2018
1237,NEZINHO GONÇALVES NUNES,PDT,SUPLENTE,1893,2018
1240,ANA CLAUDIA FERREIRA DE PAIVA,PDT,SUPLENTE,2157,2018
1243,TERESINHA DE JESUS BALDINO,PDT,SUPLENTE,1850,2018
1254,ANDRÉ LUIS DE MORAES,PDT,SUPLENTE,1487,2018
1255,ANDRE APARECIDO DA ROCHA,PDT,SUPLENTE,1462,2018
1256,ANTONIO HERNANDES DA SILVA PASSOS,PDT,SUPLENTE,1087,2018
1260,SILAS CARLOS DE OLIVERIA,PDT,SUPLENTE,2725,2018
1262,JOSE WANDERLEY DE ANDRADE,PDT,SUPLENTE,4803,2018
1270,ELZA ALVES DE CARVALHO,PDT,SUPLENTE,1107,2018
1277,AURELINO ALVES DOS SANTOS JUNIOR,PDT,SUPLENTE,1767,2018
1288,MARCOS TADEU GOMES,PDT,SUPLENTE,703,2018
1289,LEDA MARIA SILVA SPERANDIO,PDT,SUPLENTE,477,2018
1299,CELIO DA SILVA FRANCO,PDT,SUPLENTE,1935,2018
1300,STELA REGINA DALECIO,PT,SUPLENTE,10756,2018
1301,PAULA FRANCINETE COSTA LEITE,PT,SUPLENTE,9462,2018
1303,VALDOMIRO DA PURIFICAÇÃO OLIVEIRA,PT,SUPLENTE,780,2018
1304,TELMA SANDRA AUGUSTO DE SOUZA,PT,SUPLENTE,32515,2018
1305,ARNOR BARBOSA DOS SANTOS,PT,SUPLENTE,662,2018
1306,JOÃO CARLOS FRANÇA DE PAULA SANTOS,PT,SUPLENTE,6308,2018
1307,MARIANA ROSSETO SANTOS,PT,SUPLENTE,6278,2018
1309,GERALDO ALVES DIONÍSIO,PT,SUPLENTE,357,2018
1310,IZÍDIO DE BRITO CORREIA,PT,SUPLENTE,40071,2018
1312,ODERLAN PEREIRA DE SOUZA,PT,SUPLENTE,13043,2018
1313,RUI GOETHE DA COSTA FALCÃO,PT,ELEITO POR QP,158389,2018
1314,MARINALVA GONÇALVES DE BRITO,PT,SUPLENTE,5181,2018
1315,RONALDO JOSE LACERDA,PT,SUPLENTE,15868,2018
1316,ELVIS ANTUNES RUAS,PT,SUPLENTE,1587,2018
1317,CARLOS ALBERTO PEREIRA BEZERRA,PT,SUPLENTE,1386,2018
1318,MARCIO POCHMANN,PT,SUPLENTE,53261,2018
1319,RICARDO ALVES MARINHO,PT,SUPLENTE,1944,2018
1320,JÚLIA MARTIN DA CRUZ,PT,SUPLENTE,8782,2018
1321,ANA LUCIA LIPPAUS PERUGINI,PT,SUPLENTE,49986,2018
1322,ARLINDO CHIGNALIA JUNIOR,PT,ELEITO POR QP,87449,2018
1323,OCIDENE JANUARIO DA SILVA SANTANA,PT,SUPLENTE,2956,2018
1324,JOSE ANTONIO DO CARMO CRUZ,PT,SUPLENTE,1236,2018
1325,JOSE DE FILIPPI JUNIOR,PT,SUPLENTE,43382,2018
1326,JOSE MAURO FAGUNDES DE SOUSA,PT,SUPLENTE,2140,2018
1327,MARIA APARECIDA MARQUES DE SIMONI,PT,SUPLENTE,641,2018
1331,SETIMA MARIA VIEIRA DE ARAUJO,PT,SUPLENTE,8873,2018
1332,JOSE MENTOR GUILHERME DE MELLO NETTO,PT,SUPLENTE,55022,2018
1333,JULIANA CARDOSO,PT,SUPLENTE,54746,2018
1334,WILSON NUNES CERQUEIRA,PT,SUPLENTE,2376,2018
1335,VALMIR PRASCIDELLI,PT,SUPLENTE,43224,2018
1336,JOSÉ REINALDO PEREIRA,PT,SUPLENTE,2397,2018
1337,CICERA MARIA DA CONCEIÇÃO,PT,SUPLENTE,857,2018
1338,GILDENOR ALVES FREIRE,PT,SUPLENTE,1734,2018
1339,REGINALDO CAMILO DOS SANTOS,PT,SUPLENTE,9001,2018
1342,DAVID JOSÉ FELICIANO,PT,SUPLENTE,1663,2018
1344,RINALDO LUIZ WOLF,PT,SUPLENTE,1817,2018
1345,CARLOS JANUÁRIO,PT,SUPLENTE,7086,2018
1346,CARLOS CÉSAR GONÇALVES,PT,SUPLENTE,1864,2018
1347,ALEX OLIVEIRA DA SILVA,PT,SUPLENTE,1105,2018
1350,AMÉLIA NAOMI OMURA,PT,SUPLENTE,38200,2018
1351,CHEILA MARIA SUBENKO OLALLA,PT,SUPLENTE,2317,2018
1352,MARILIA ELENA DA SILVA RIBEIRO,PT,SUPLENTE,1260,2018
1353,NILTO IGNACIO TATTO,PT,ELEITO POR QP,124281,2018
1354,ALEXANDRE ROCHA SANTOS PADILHA,PT,ELEITO POR QP,87576,2018
1355,ELAINE CRISTINA LOPES TERRON,PT,SUPLENTE,4575,2018
1356,EDSON DA PAZ,PT,SUPLENTE,1816,2018
1358,ALENCAR SANTANA BRAGA,PT,ELEITO POR MÉDIA,67892,2018
1359,JORGE AUGUSTO ROQUE SOUZA,PT,SUPLENTE,4520,2018
1360,EDNA DA SILVA DELLA NINA,PT,SUPLENTE,1931,2018
1363,ANA MARIA DO CARMO ROSSETO,PT,SUPLENTE,51818,2018
1364,ADMILSON LUCIO OLIVEIRA,PT,SUPLENTE,13591,2018
1365,ANDRE BASTIANON PONTES,PT,SUPLENTE,2218,2018
1366,MARIANA CERGOLI JANEIRO,PT,SUPLENTE,10852,2018
1367,EDIO LOPES DOS SANTOS,PT,SUPLENTE,3132,2018
1368,EDUARDO MARCHIORI LEITE DA SILVA,PT,SUPLENTE,22669,2018
1369,CLAUDIO RAMOS MOREIRA,PT,SUPLENTE,8050,2018
1370,CARLOS ALBERTO ROLIM ZARATTINI,PT,ELEITO POR QP,137909,2018
1373,BRUNO RAMOS DA SILVA,PT,SUPLENTE,3420,2018
1375,MARIO FERREIRA,PT,SUPLENTE,4355,2018
1377,CARLOS EDUARDO GABAS,PT,SUPLENTE,45045,2018
1378,CLAUDIO COSTA SANTOS,PT,SUPLENTE,1172,2018
1379,JOSÉ BARBOSA DOS SANTOS SILVA,PT,SUPLENTE,969,2018
1380,PAOLLA CATHERINE DOS SANTOS MIGUEL AGARD,PT,SUPLENTE,10431,2018
1381,MARIO YUKIYASU TERUYA,PT,SUPLENTE,2268,2018
1383,IVANIO BATISTA DA SILVA,PT,SUPLENTE,730,2018
1386,GABRIELA EVANGELISTA ARANTES DA SILVA,PT,SUPLENTE,1975,2018
1387,ELOI ALFREDO PIETÁ,PT,SUPLENTE,60604,2018
1388,MARIA ROSA PEREIRA OLIVEIRA,PT,SUPLENTE,1693,2018
1389,ALFREDO ALVES CAVALCANTE,PT,SUPLENTE,62146,2018
1390,VICENTE PAULO DA SILVA,PT,ELEITO POR QP,70645,2018
1398,LUIZ PAULO TEIXEIRA FERREIRA,PT,ELEITO POR QP,78512,2018
1399,FRANCISCO DAS CHAGAS FRANCILINO,PT,SUPLENTE,36415,2018
1400,MARCELO ROBERTO GASTALDO,PTB,SUPLENTE,10739,2018
1405,PAULO KENJI SASAKI,PTB,SUPLENTE,7347,2018
1410,MARIA ANGELICA MARIANO,PTB,SUPLENTE,2886,2018
1411,PAULO JORGE VALENTIM,PTB,SUPLENTE,2433,2018
1414,MARLENE OLIVEIRA DE CAMPOS MACHADO,PTB,SUPLENTE,47684,2018
1415,EDSON DE JESUS SARDANO,PTB,SUPLENTE,15527,2018
1420,CLAYTON JUN NITTA,PTB,SUPLENTE,1397,2018
1423,WILLIANS SANTOS,PTB,SUPLENTE,5656,2018
1430,MARIA DE LURDES FARIA DE GODOI,PTB,SUPLENTE,2488,2018
1433,ANTONIO RAPOSO PATRICIO,PTB,SUPLENTE,3526,2018
1434,NELSON MARQUEZELLI,PTB,SUPLENTE,33843,2018
1440,JUAREZ PEREIRA DA SILVA,PTB,SUPLENTE,9257,2018
1441,SEVERINO TINHA DI FERREIRA DOS SANTOS,PTB,SUPLENTE,2724,2018
1444,IVANILDO GOMES NOGUEIRA,PTB,SUPLENTE,5961,2018
1445,ARTHUR VIANA DA SILVA,PTB,SUPLENTE,2021,2018
1450,KARINA MASSI,PTB,SUPLENTE,925,2018
1451,MARIA TERESINHA DE JESUS PEDROZA,PTB,SUPLENTE,17280,2018
1452,FRANCISCO PEREIRA DE SOUSA FILHO,PTB,SUPLENTE,7965,2018
1456,MARCIA BUENO DA SILVA,PTB,SUPLENTE,891,2018
1466,ALEXANDRE MORAES DE ALVARENGA RANGEL,PTB,SUPLENTE,2895,2018
1470,FLAVIA DOS SANTOS DIAS,PTB,SUPLENTE,666,2018
1477,GISELA MARIANA VASCONCELOS MONTEIRO DE CARVALHO,PTB,SUPLENTE,2687,2018
1480,ALEX DE CARVALHO RODRIGUES,PTB,SUPLENTE,843,2018
1488,MORGANA APARECIDA VENERANDO MICHELETT CARDOSO,PTB,SUPLENTE,251,2018
1490,CATIA MARISA TAPPI,PTB,SUPLENTE,309,2018
1500,PAULO ROBERTO GOMES MANSUR,MDB,SUPLENTE,27613,2018
1501,MARTA LÍVIA BARRAGANA FERNANDES SUPLICY,MDB,SUPLENTE,1506,2018
1502,DAMIAO ANTONIO DA SILVA,MDB,SUPLENTE,639,2018
1503,CARLA CRISTINA MASSARO FLORES,MDB,SUPLENTE,2525,2018
1504,BRAZ BELLO JUNIOR,MDB,SUPLENTE,2107,2018
1505,MARCOS AURELIO VILLARDI,MDB,SUPLENTE,2365,2018
1507,ANTONIO RAIMUNDO MATIAS DOS SANTOS,MDB,SUPLENTE,11315,2018
1509,FERNANDO RACHAS RIBEIRO,MDB,SUPLENTE,1421,2018
1510,FAUSTO GUILHERME LONGO,MDB,SUPLENTE,9042,2018
1511,JOSÉ NUNES FILHO,MDB,SUPLENTE,2008,2018
1512,REGINA LEITE TOLENTINO,MDB,SUPLENTE,4233,2018
1514,PAULA TACIANA TEODORO,MDB,SUPLENTE,696,2018
1515,LUIZ FELIPE BALEIA TENUTO ROSSI,MDB,ELEITO POR QP,214042,2018
1516,PILTON RIOS DE BARROS FELIX PEREIRA,MDB,SUPLENTE,759,2018
1517,PAULA ANDREA GARCIA MEIRELLES,MDB,SUPLENTE,734,2018
1518,REINALDO DE OLIVEIRA COELHO,MDB,SUPLENTE,1536,2018
1519,PAULO ROBERTO DE JESUS,MDB,SUPLENTE,2709,2018
1520,ANA PAULA RETUCI,MDB,SUPLENTE,1997,2018
1521,AGUINALDO TRIUMPHO AVELLAR,MDB,SUPLENTE,2155,2018
1522,CHARLES GUTEMBERG GOMES DOS SANTOS,MDB,SUPLENTE,2729,2018
1523,YGOR SILVEIRA BUENO,MDB,SUPLENTE,3445,2018
1525,ARIADINE FERREIRA ESPINDOLA,MDB,SUPLENTE,565,2018
1528,CIRO NEGRETI DIAS,MDB,SUPLENTE,1314,2018
1529,ADRIANA ARAUJO BARGAS,MDB,SUPLENTE,3238,2018
1530,PRISCILA PEREIRA,MDB,SUPLENTE,3327,2018
1531,ROSANGELA RIBEIRO DE ALMEIDA,MDB,SUPLENTE,488,2018
1532,OMAR COUTO DA SILVA,MDB,SUPLENTE,330,2018
1535,SATURNINO DE SALES SANTOS,MDB,SUPLENTE,298,2018
1537,MARCO ANTONIO NOTARI,MDB,SUPLENTE,197,2018
1540,CIDIMAR ROBERTO PORTO,MDB,SUPLENTE,3272,2018
1541,SELMA DE MORAES,MDB,SUPLENTE,758,2018
1543,ROBERTO DELFINO DA SILVA,MDB,SUPLENTE,4119,2018
1544,TAIS TANARA NOGUEIRA NAUFEL,MDB,SUPLENTE,609,2018
1545,EDUARDO RODRIGUES XAVIER,MDB,SUPLENTE,8042,2018
1549,SANDRA CANDIDO MORETTI,MDB,SUPLENTE,7767,2018
1550,RICARDO LUIS REIS NUNES,MDB,SUPLENTE,47258,2018
1551,HERCULANO CASTILHO PASSOS JUNIOR,MDB,ELEITO POR MÉDIA,49653,2018
1552,DAYANA APARECIDA FRANCO,MDB,SUPLENTE,1972,2018
1553,ROBERTO JOSÉ DA SILVA,MDB,SUPLENTE,351,2018
1554,DANIEL VERÍSSIMO DOS SANTOS,MDB,SUPLENTE,501,2018
1555,JUNJI ABE,MDB,SUPLENTE,21510,2018
1556,MANOEL DA CRUZ CARLOS VIEIRA,MDB,SUPLENTE,549,2018
1557,MARCOS VINICIUS BRASIL DOS SANTOS,MDB,SUPLENTE,1168,2018
1558,EVERALDO MARIANO DA SILVA,MDB,SUPLENTE,1717,2018
1560,WALDEMAR ANTONIO ZORZI FOELKEL,MDB,SUPLENTE,2161,2018
1561,NAIR FAGUNDES,MDB,SUPLENTE,335,2018
1564,AMELIA ROSA DO NASCIMENTO,MDB,SUPLENTE,227,2018
1565,ZILDA MARIA DA SILVA ALVES,MDB,SUPLENTE,437,2018
1567,MARIA ELISABETE DE PAIVA,MDB,SUPLENTE,2159,2018
1568,JOSÉ SILVESTRE DE OLIVEIRA,MDB,SUPLENTE,347,2018
1570,TIFANNY PEREIRA DE ABREU,MDB,SUPLENTE,3889,2018
1577,ANA PAULA CALVO FARIA,MDB,SUPLENTE,3441,2018
1578,AZAEL RODRIGUES VIEIRA,MDB,SUPLENTE,1609,2018
1580,EDUARDO NAZARENO GAVINO DOS SANTOS JUNIOR,MDB,SUPLENTE,400,2018
1581,WILSON DIAS RIBEIRO,MDB,SUPLENTE,119,2018
1587,ALEXSANDRA APARECIDA BECHELLI SILVA,MDB,SUPLENTE,367,2018
1588,VITOR ALEXANDRE RODRIGUES,MDB,SUPLENTE,18630,2018
1589,MAURICIO APARECIDO GONÇALVES,MDB,SUPLENTE,2860,2018
1590,FLAVIUS COTAIT RUGGIERO,MDB,SUPLENTE,877,2018
1593,HUBER ARISTÓTELES NOGUEIRA DA GAMA,MDB,SUPLENTE,354,2018
1596,MANOEL LIMA DOMINGUES,MDB,SUPLENTE,1872,2018
1598,EDEGAR DE OLIVEIRA ÁVILA,MDB,SUPLENTE,179,2018
1599,NESTOR BERTOLINO NETO,MDB,SUPLENTE,780,2018
1600,CLAUDIO DONIZETE DOS REIS,PSTU,NÃO ELEITO,851,2018
1610,INÊS LEAL DE CASTRO,PSTU,NÃO ELEITO,393,2018
1616,FLAVIA BISCHAIN ROSA,PSTU,NÃO ELEITO,3562,2018
1617,RAFAEL DE ALMEIDA PADIAL,PSTU,NÃO ELEITO,341,2018
1620,WILSON APARECIDO RIBEIRO,PSTU,NÃO ELEITO,448,2018
1630,SHIRLEY SILVERIO RAPOSO,PSTU,NÃO ELEITO,654,2018
1678,ANTÔNIO FERREIRA DE BARROS,PSTU,NÃO ELEITO,1384,2018
1700,MARCIO TADEU ANHAIA DE LEMOS,PSL,ELEITO POR QP,98373,2018
1701,PAULO SERGIO ABOU ANNI,PSL,ELEITO POR QP,69256,2018
1702,LUIZ PHILIPPE DE ORLEANS BRAGANÇA,PSL,ELEITO POR QP,118457,2018
1703,PEDRO AYRES DE SOUZA,PSL,SUPLENTE,3751,2018
1704,ALEXANDRE DONIZETE TEODORO,PSL,SUPLENTE,4856,2018
1705,CLESIO VOLDENEI DE OLIVEIRA ALMEIDA,PSL,SUPLENTE,3077,2018
1707,MARCELO JORGE FRANCISCON,PSL,SUPLENTE,17281,2018
